tp_variant,trade_number,equity,return,timestamp
midpoint,0,10000.0,0.0,
midpoint,1,10038.920957175458,0.0038920957175458738,2025-01-02 15:20:00+00:00
midpoint,2,10043.785395856816,0.0004845579223213605,2025-01-03 15:30:00+00:00
midpoint,3,10015.2436624542,-0.002841730709856627,2025-01-08 15:05:00+00:00
midpoint,4,10026.53675811944,0.0011275907053140744,2025-01-13 15:25:00+00:00
midpoint,5,10027.197713135214,6.592056975593969e-05,2025-01-14 15:10:00+00:00
midpoint,6,10024.734747587368,-0.0002456285014325264,2025-01-16 16:05:00+00:00
midpoint,7,10034.01320207776,0.0009255561093648225,2025-01-17 15:05:00+00:00
midpoint,8,10026.199197344798,-0.0007787516894381062,2025-01-24 15:15:00+00:00
midpoint,9,10029.811433615168,0.0003602797230805923,2025-01-27 16:25:00+00:00
midpoint,10,9973.673679708569,-0.00559708966396446,2025-01-28 15:05:00+00:00
midpoint,11,9953.646163357484,-0.002008038060422068,2025-01-30 15:05:00+00:00
midpoint,12,9916.584020453727,-0.003723474021026929,2025-02-03 15:25:00+00:00
midpoint,13,9896.896181811897,-0.0019853448124094396,2025-02-05 15:05:00+00:00
midpoint,14,9892.280457346798,-0.00046638101282505653,2025-02-06 15:40:00+00:00
midpoint,15,9894.746998543797,0.0002493399987630653,2025-02-12 15:05:00+00:00
midpoint,16,9889.135725926804,-0.000567096118558563,2025-02-19 15:50:00+00:00
midpoint,17,9842.456358167477,-0.0047202676809203975,2025-02-28 16:40:00+00:00
midpoint,18,9781.45580368145,-0.006197696211820891,2025-03-03 16:35:00+00:00
midpoint,19,9745.959826347264,-0.003628905353825451,2025-03-05 15:10:00+00:00
midpoint,20,9744.228904789405,-0.00017760401116986274,2025-03-06 15:00:00+00:00
midpoint,21,9743.9181836662,-3.1887707713029566e-05,2025-03-07 15:15:00+00:00
midpoint,22,9698.137465197075,-0.004698389047012718,2025-03-11 14:05:00+00:00
midpoint,23,9701.641090711051,0.000361267875048177,2025-03-12 14:10:00+00:00
midpoint,24,9687.868157249579,-0.0014196498646666055,2025-03-13 14:25:00+00:00
midpoint,25,9658.815164964151,-0.002998904590138096,2025-03-14 14:15:00+00:00
midpoint,26,9668.61875023002,0.0010149883912706549,2025-03-17 17:25:00+00:00
midpoint,27,9675.91353816407,0.0007544808749311074,2025-03-21 15:20:00+00:00
midpoint,28,9670.911319589271,-0.0005169763614638832,2025-03-25 13:55:00+00:00
midpoint,29,9608.768608385093,-0.006425734778304015,2025-03-27 14:50:00+00:00
midpoint,30,9574.962417318342,-0.0035182646647615944,2025-03-31 15:05:00+00:00
midpoint,31,9563.562821245112,-0.0011905630096898045,2025-04-01 14:05:00+00:00
midpoint,32,9443.880535568383,-0.012514403670864116,2025-04-04 15:35:00+00:00
midpoint,33,9398.042899684671,-0.004853686544538016,2025-04-08 15:15:00+00:00
midpoint,34,9308.314683524904,-0.00954754272964411,2025-04-09 15:00:00+00:00
midpoint,35,9326.195381524378,0.0019209382801723463,2025-04-11 14:15:00+00:00
midpoint,36,9313.289584233024,-0.001383822315895533,2025-04-14 14:05:00+00:00
midpoint,37,9283.438527555876,-0.003205210834170158,2025-04-15 14:20:00+00:00
midpoint,38,9265.309745565526,-0.0019528089658307434,2025-04-16 14:45:00+00:00
midpoint,39,9240.09520686132,-0.00272139187966971,2025-04-23 15:25:00+00:00
midpoint,40,9240.751791505238,7.105821197914714e-05,2025-04-25 14:05:00+00:00
midpoint,41,9201.30125259055,-0.0042691914905617296,2025-04-28 14:00:00+00:00
midpoint,42,9128.047436948413,-0.007961245222953073,2025-04-30 15:05:00+00:00
midpoint,43,9126.285288532572,-0.00019304768385721688,2025-05-01 13:55:00+00:00
midpoint,44,9127.421103620145,0.00012445535633218724,2025-05-02 13:55:00+00:00
midpoint,45,9123.017567085923,-0.0004824513391275207,2025-05-05 14:35:00+00:00
midpoint,46,9098.23756043673,-0.002716207271001436,2025-05-06 14:20:00+00:00
midpoint,47,9084.693091901903,-0.0014886914575328535,2025-05-07 13:50:00+00:00
midpoint,48,9073.525058892741,-0.001229324193584147,2025-05-08 15:25:00+00:00
midpoint,49,9074.056317216056,5.855037814603853e-05,2025-05-09 13:55:00+00:00
midpoint,50,9082.444368331684,0.0009243992788223523,2025-05-14 14:05:00+00:00
midpoint,51,9082.910302163187,5.130048834953732e-05,2025-05-15 14:00:00+00:00
midpoint,52,9068.932498993327,-0.0015389123865432674,2025-05-20 14:40:00+00:00
midpoint,53,9085.016332551004,0.0017735090165753365,2025-05-23 15:15:00+00:00
midpoint,54,9070.62166685555,-0.001584440266098297,2025-05-30 14:15:00+00:00
midpoint,55,9089.666056585114,0.002099568301823651,2025-06-02 14:25:00+00:00
midpoint,56,9098.59453477759,0.0009822669102357074,2025-06-04 14:35:00+00:00
midpoint,57,9100.971209779062,0.00026121342064275874,2025-06-05 14:25:00+00:00
midpoint,58,9103.941637174536,0.00032638575894858876,2025-06-06 14:35:00+00:00
midpoint,59,9091.548698124356,-0.0013612718033665593,2025-06-09 20:00:00+00:00
midpoint,60,9088.254262511111,-0.0003623624227986564,2025-06-10 15:00:00+00:00
midpoint,61,9088.866808362684,6.739972649081344e-05,2025-06-11 13:55:00+00:00
midpoint,62,9068.303483419852,-0.0022624740109417284,2025-06-13 14:20:00+00:00
midpoint,63,9062.205120676967,-0.0006724921319665398,2025-06-17 13:55:00+00:00
midpoint,64,9057.996050728278,-0.00046446421071235624,2025-06-25 14:00:00+00:00
midpoint,65,9041.545340495015,-0.0018161533899035075,2025-06-26 14:05:00+00:00
midpoint,66,9039.820250822231,-0.00019079588807204822,2025-07-01 14:00:00+00:00
midpoint,67,9039.634303309018,-2.056982418399117e-05,2025-07-07 14:00:00+00:00
midpoint,68,9033.894197756863,-0.0006349931158226239,2025-07-08 14:35:00+00:00
