symbol,market_type,tp_variant,total_return,win_rate,profit_factor,max_drawdown,expectancy,trades_count,return_to_drawdown_ratio,top_5_trades_pnl_share,decision
BTCUSDT,crypto_futures,midpoint,-0.4830739866240024,0.0972222222222222,0.0475847384919045,-0.4831238917971329,-0.0030439107528759,216,-0.9998967031563172,0.5509091125918456,no_go
BTCUSDT,crypto_futures,opposite_extreme,-0.3468020633135752,0.3657407407407407,0.3577319778331108,-0.3543150774714058,-0.0019521827998375,216,-0.9787956690653762,0.2376941425453675,no_go
QQQ,equity,midpoint,-0.1552057282930417,0.3,0.154576353564362,-0.1588885679940491,-0.0012013999373937,140,-0.9768212417828236,0.4048495580438288,no_go
QQQ,equity,opposite_extreme,-0.1226369761195826,0.5428571428571428,0.5390823733329663,-0.1356385909456978,-0.0009229076237534,140,-0.9041451644737278,0.2313966103984265,no_go
SPY,equity,midpoint,-0.1280035840692261,0.2375,0.1416917509755065,-0.1299859407462996,-0.000854632627551,160,-0.984749453166304,0.4099956135374999,no_go
SPY,equity,opposite_extreme,-0.0865475593435572,0.5,0.5443334275386579,-0.0933336397480424,-0.0005621085835895,160,-0.927292234366897,0.227592196940236,no_go
