timestamp,close,strategy_returns,benchmark_returns,turnover,equity_usdt
2025-12-03 03:35:00,92716.3,0.0,0.0002783456772808002,0.0,10000.0
2025-12-03 03:40:00,92679.9,0.0,-0.0003925954767393103,0.0,10000.0
2025-12-03 03:45:00,92713.1,0.0,0.0003582222250997358,0.0,10000.0
2025-12-03 03:50:00,92685.1,0.0,-0.0003020069440025086,0.0,10000.0
2025-12-03 03:55:00,92586.4,0.0,-0.0010648960836209254,0.0,10000.0
2025-12-03 04:00:00,92673.6,0.0,0.000941822989121599,0.0,10000.0
2025-12-03 04:05:00,92797.5,0.0,0.001336950328896247,0.0,10000.0
2025-12-03 04:10:00,92830.6,0.0,0.0003566906436056616,0.0,10000.0
2025-12-03 04:15:00,92858.9,0.0,0.0003048563727907627,0.0,10000.0
2025-12-03 04:20:00,92953.8,0.0,0.0010219806609814697,0.0,10000.0
2025-12-03 04:25:00,92781.0,0.0,-0.0018589880134002312,0.0,10000.0
2025-12-03 04:30:00,93018.7,0.0,0.002561946950345506,0.0,10000.0
2025-12-03 04:35:00,93009.2,0.0,-0.00010213000181680254,0.0,10000.0
2025-12-03 04:40:00,92907.4,0.0,-0.0010945153812741415,0.0,10000.0
2025-12-03 04:45:00,92988.7,0.0,0.0008750648495168267,0.0,10000.0
2025-12-03 04:50:00,93086.4,0.0,0.001050665295890818,0.0,10000.0
2025-12-03 04:55:00,93305.2,0.0,0.0023505044775606887,0.0,10000.0
2025-12-03 05:00:00,93287.9,0.0,-0.00018541303164243406,0.0,10000.0
2025-12-03 05:05:00,93460.5,0.0,0.0018501863585738132,0.0,10000.0
2025-12-03 05:10:00,93268.2,0.0,-0.0020575537259056587,0.0,10000.0
2025-12-03 05:15:00,93128.8,0.0,-0.0014946144559452312,0.0,10000.0
2025-12-03 05:20:00,93216.3,0.0,0.000939558976385424,0.0,10000.0
2025-12-03 05:25:00,93295.1,0.0,0.0008453457174335544,0.0,10000.0
2025-12-03 05:30:00,93379.5,0.0,0.0009046563002772512,0.0,10000.0
2025-12-03 05:35:00,93567.4,0.0,0.0020122189559805825,0.0,10000.0
2025-12-03 05:40:00,93370.6,0.0,-0.002103296661016385,0.0,10000.0
2025-12-03 05:45:00,93523.9,0.0,0.0016418444349719508,0.0,10000.0
2025-12-03 05:50:00,93475.0,0.0,-0.0005228610013054968,0.0,10000.0
2025-12-03 05:55:00,93595.9,0.0,0.0012933939556030172,0.0,10000.0
2025-12-03 06:00:00,93754.5,0.0,0.0016945186701555759,0.0,10000.0
2025-12-03 06:05:00,93754.0,0.0,-5.333077345626158e-06,0.0,10000.0
2025-12-03 06:10:00,93646.2,0.0,-0.0011498176077820998,0.0,10000.0
2025-12-03 06:15:00,93789.4,0.0,0.0015291597523443556,0.0,10000.0
2025-12-03 06:20:00,93910.4,0.0,0.0012901244703560355,0.0,10000.0
2025-12-03 06:25:00,93878.9,0.0,-0.0003354261082904042,0.0,10000.0
2025-12-03 06:30:00,93773.2,0.0,-0.0011259186036478575,0.0,10000.0
2025-12-03 06:35:00,93702.2,0.0,-0.0007571459649452494,0.0,10000.0
2025-12-03 06:40:00,93270.2,0.0,-0.004610350664125296,0.0,10000.0
2025-12-03 06:45:00,93189.1,0.0,-0.0008695167373929946,0.0,10000.0
2025-12-03 06:50:00,93278.3,0.0,0.0009571934915133529,0.0,10000.0
2025-12-03 06:55:00,93393.6,0.0,0.0012360859921332068,0.0,10000.0
2025-12-03 07:00:00,93285.4,0.0,-0.0011585376299876327,0.0,10000.0
2025-12-03 07:05:00,93254.8,0.0,-0.0003280256074368326,0.0,10000.0
2025-12-03 07:10:00,93170.2,0.0,-0.0009071919086203195,0.0,10000.0
2025-12-03 07:15:00,92832.4,0.0,-0.003625622784967808,0.0,10000.0
2025-12-03 07:20:00,93094.2,0.0,0.002820136073181434,0.0,10000.0
2025-12-03 07:25:00,92997.1,0.0,-0.0010430295335261963,0.0,10000.0
2025-12-03 07:30:00,92994.5,0.0,-2.7957861051697286e-05,0.0,10000.0
2025-12-03 07:35:00,92988.3,0.0,-6.66706095521219e-05,0.0,10000.0
2025-12-03 07:40:00,93061.3,0.0,0.0007850450002850895,0.0,10000.0
2025-12-03 07:45:00,93022.0,0.0,-0.00042230228892137234,0.0,10000.0
2025-12-03 07:50:00,92989.5,0.0,-0.00034937971662618583,0.0,10000.0
2025-12-03 07:55:00,92973.4,0.0,-0.00017313782738914707,0.0,10000.0
2025-12-03 08:00:00,93052.8,0.0,0.0008540077054297601,0.0,10000.0
2025-12-03 08:05:00,92892.3,0.0,-0.001724827194882872,0.0,10000.0
2025-12-03 08:10:00,92946.4,0.0,0.0005823948809533519,0.0,10000.0
2025-12-03 08:15:00,92800.8,0.0,-0.0015664942375389623,0.0,10000.0
2025-12-03 08:20:00,92819.0,0.0,0.00019611899897409302,0.0,10000.0
2025-12-03 08:25:00,92877.0,0.0,0.0006248720628319049,0.0,10000.0
2025-12-03 08:30:00,92778.3,0.0,-0.001062695823508486,0.0,10000.0
2025-12-03 08:35:00,92803.2,0.0,0.00026838172288123907,0.0,10000.0
2025-12-03 08:40:00,92772.5,0.0,-0.0003308075583600134,0.0,10000.0
2025-12-03 08:45:00,92772.7,0.0,2.155811258619522e-06,0.0,10000.0
2025-12-03 08:50:00,92685.5,0.0,-0.0009399316824884041,0.0,10000.0
2025-12-03 08:55:00,92733.3,0.0,0.0005157225240193242,0.0,10000.0
2025-12-03 09:00:00,92866.2,0.0,0.0014331421398785515,0.0,10000.0
