tp_variant,total_return,win_rate,profit_factor,max_drawdown,sharpe,expectancy,return_to_drawdown_ratio,top_5_trades_pnl_share,top_5_net_pnl_share,top_month_return_share,avg_rr,profit_per_trade,max_consecutive_losses,time_in_market,avg_bars_in_trade,median_bars_in_trade,total_sessions,valid_sessions,invalid_sessions,invalid_sessions_ratio,signals_count,trades_count,signal_to_trade_rate,symbol,adjusted_data,decision_profile,coverage_ratio_5m,regular_session_coverage_ratio,total_regular_sessions_detected,complete_regular_sessions,partial_regular_sessions,expected_regular_bars,observed_regular_bars,regular_session_expected_bars,regular_session_observed_bars,extended_hours_bars_count,coverage_denominator_source,coverage_is_provisional,daily_start,daily_end,daily_warmup_ok,daily_warmup_bars,daily_required_warmup_bars,ny_gap_count_gt_60m,decision
midpoint,-0.12800358406922618,0.2375,0.14169175097550657,-0.12998594074629966,-9.283839327169668,-0.0008546326275510419,-0.984749453166304,0.40999561353749997,0.0,1.0,-0.09577739949182655,-0.0008546326275510419,14,392.0,2.45,1.0,250,244,6,0.024,160,160,1.0,QQQ,True,market_fit,0.9175418677263696,0.9175418677263696,250,247,24,21138,19395,21138,19395,27945,daily,False,2024-12-02,2025-12-31,True,21,14,3,no_go
opposite_extreme,-0.08654755934355729,0.5,0.5443334275386579,-0.09333363974804243,-3.3623256832096993,-0.000562108583589582,-0.927292234366897,0.22759219694023608,0.0,1.0,-0.06823302362405397,-0.000562108583589582,11,1958.0,12.2375,4.0,250,244,6,0.024,160,160,1.0,QQQ,True,market_fit,0.9175418677263696,0.9175418677263696,250,247,24,21138,19395,21138,19395,27945,daily,False,2024-12-02,2025-12-31,True,21,14,3,no_go
