symbol,market_type,tp_variant,trades_count,signals_count,signal_to_trade_rate,avg_pnl,median_pnl,best_5_trades_sum,worst_5_trades_sum,max_consecutive_losses,long_trades,short_trades,long_return,short_return,best_entry_hour,avg_bars_in_trade,median_bars_in_trade,top_5_trades_pnl_share,breakout_above_count,breakout_below_count,discarded_signals_count,median_confirmation_lag_minutes,median_entry_lag_minutes
BTCUSDT,crypto_futures,midpoint,216,216,1.0,-0.0030439107528759373,-0.0022949343193314504,0.0180970156964451,-0.0811606258014031,45,100,116,-0.33564459971401733,-0.32184012290718517,16,4.060185185185185,1.0,0.5509091125918456,116,100,0,0.0,5.0
BTCUSDT,crypto_futures,opposite_extreme,216,216,1.0,-0.001952182799837493,-0.00066824421483985,0.0558256999408554,-0.1038662915223863,11,100,116,-0.21293755207162976,-0.20873393269326873,16,13.166666666666666,5.0,0.2376941425453675,116,100,0,0.0,5.0
QQQ,equity,midpoint,140,140,1.0,-0.001201399937393682,-0.0006225088653548,0.012450247286323601,-0.04336027372422221,9,75,65,-0.09255440427042977,-0.07564158696468569,13,4.421428571428572,1.0,0.4048495580438288,65,75,0,0.0,5.0
QQQ,equity,opposite_extreme,140,140,1.0,-0.0009229076237534862,0.0004250565810925,0.0349683448851392,-0.08165102867273341,4,75,65,-0.07135140455512226,-0.05785566277036581,13,14.342857142857143,5.0,0.2313966103984265,65,75,0,0.0,5.0
SPY,equity,midpoint,160,160,1.0,-0.0008546326275510167,-0.0005400390271803001,0.009255075004151002,-0.0271260494441105,14,76,84,-0.06893613740759877,-0.06780508300056393,16,2.45,1.0,0.4099956135374999,84,76,0,0.0,5.0
SPY,equity,opposite_extreme,160,160,1.0,-0.0005621085835895823,-4.909915706030442e-06,0.024452057198008397,-0.0391681907043811,11,76,84,-0.031789226205682045,-0.05814814716865113,13,12.2375,4.0,0.227592196940236,84,76,0,0.0,5.0
