tp_variant,trade_number,equity,return,timestamp
midpoint,0,10000.0,0.0,
midpoint,1,10022.785340719367,0.0022785340719366554,2025-01-02 15:20:00+00:00
midpoint,2,10022.312551732524,-4.717141700341082e-05,2025-01-03 15:00:00+00:00
midpoint,3,10007.748607559422,-0.0014531520642492523,2025-01-08 15:05:00+00:00
midpoint,4,10011.126819268304,0.00033755960919410485,2025-01-13 15:25:00+00:00
midpoint,5,10013.294796643351,0.0002165567786909019,2025-01-14 15:10:00+00:00
midpoint,6,10012.49496601594,-7.987686806945043e-05,2025-01-16 16:00:00+00:00
midpoint,7,9997.23354524841,-0.001524237547117968,2025-01-21 14:55:00+00:00
midpoint,8,9990.265480284907,-0.0006969993180579113,2025-01-23 15:30:00+00:00
midpoint,9,9990.69249554848,4.274313474603736e-05,2025-01-24 16:35:00+00:00
midpoint,10,9996.65087092364,0.0005963926302221314,2025-01-27 16:25:00+00:00
midpoint,11,9977.006118251975,-0.0019651334157127164,2025-01-28 15:05:00+00:00
midpoint,12,9975.37111705603,-0.00016387693628396854,2025-01-29 15:15:00+00:00
midpoint,13,9965.180371723347,-0.0010215905967907667,2025-01-30 15:10:00+00:00
midpoint,14,9927.503975605288,-0.003780804231599011,2025-02-03 15:25:00+00:00
midpoint,15,9892.053491414634,-0.0035709362874865257,2025-02-05 15:05:00+00:00
midpoint,16,9882.299110792119,-0.0009860824783226806,2025-02-06 15:00:00+00:00
midpoint,17,9840.0237576796,-0.004277886414746379,2025-02-07 15:05:00+00:00
midpoint,18,9846.033280095908,0.0006107223482682891,2025-02-10 17:10:00+00:00
midpoint,19,9846.785337676905,7.638178336419904e-05,2025-02-12 15:10:00+00:00
midpoint,20,9837.926267857703,-0.0008996915760217881,2025-02-14 15:50:00+00:00
midpoint,21,9826.499224997484,-0.0011615296302386557,2025-02-19 15:35:00+00:00
midpoint,22,9784.661707279303,-0.004257621840721448,2025-02-27 16:50:00+00:00
midpoint,23,9751.053171193225,-0.0034348184016495197,2025-02-28 15:20:00+00:00
midpoint,24,9712.50665725229,-0.00395306160926403,2025-03-03 15:55:00+00:00
midpoint,25,9694.522538405556,-0.0018516454589307062,2025-03-05 15:05:00+00:00
midpoint,26,9687.439926868503,-0.0007305786859532979,2025-03-06 15:00:00+00:00
midpoint,27,9689.906092937186,0.0002545735599188472,2025-03-07 15:15:00+00:00
midpoint,28,9689.059788936009,-8.733872062951492e-05,2025-03-11 13:55:00+00:00
midpoint,29,9679.700525447211,-0.0009659619914293092,2025-03-13 14:20:00+00:00
midpoint,30,9662.46272851306,-0.0017808192401031152,2025-03-14 14:05:00+00:00
midpoint,31,9641.220264525267,-0.002198452359884162,2025-03-17 15:35:00+00:00
midpoint,32,9639.69073950538,-0.00015864433940129247,2025-03-21 14:05:00+00:00
midpoint,33,9637.050442422122,-0.00027389852585604205,2025-03-25 14:15:00+00:00
midpoint,34,9607.37869762029,-0.0030789238864225243,2025-03-31 14:05:00+00:00
midpoint,35,9608.581364936264,0.0001251816290192888,2025-04-01 14:00:00+00:00
midpoint,36,9565.571004917852,-0.00447624455524378,2025-04-08 15:00:00+00:00
midpoint,37,9502.660819411583,-0.006576730806130215,2025-04-09 14:55:00+00:00
midpoint,38,9529.792273929754,0.0028551428945824187,2025-04-11 14:15:00+00:00
midpoint,39,9528.531309281132,-0.00013231816731942275,2025-04-14 13:55:00+00:00
midpoint,40,9501.032772407765,-0.002885915570911024,2025-04-15 14:20:00+00:00
midpoint,41,9497.143392400436,-0.0004093639186915297,2025-04-16 14:45:00+00:00
midpoint,42,9494.154860980841,-0.00031467687662647384,2025-04-17 14:10:00+00:00
midpoint,43,9468.99845761359,-0.002649672744505138,2025-04-23 15:20:00+00:00
midpoint,44,9455.417939282162,-0.0014342085271445092,2025-04-25 14:10:00+00:00
midpoint,45,9420.732290458816,-0.0036683358732612303,2025-04-28 14:00:00+00:00
midpoint,46,9426.906189346733,0.0006553523332968105,2025-04-29 14:25:00+00:00
midpoint,47,9363.67327814615,-0.006707705574925748,2025-04-30 15:10:00+00:00
midpoint,48,9340.285808939729,-0.002497681039449162,2025-05-01 14:00:00+00:00
midpoint,49,9346.234804363212,0.0006369179214826605,2025-05-02 14:05:00+00:00
midpoint,50,9333.203079447721,-0.0013943288595110958,2025-05-05 14:00:00+00:00
midpoint,51,9318.520054797997,-0.0015732031677375912,2025-05-06 13:50:00+00:00
midpoint,52,9309.470787968776,-0.0009711055807151368,2025-05-07 13:50:00+00:00
midpoint,53,9287.822004904248,-0.002325457972595557,2025-05-08 15:25:00+00:00
midpoint,54,9289.78227171871,0.00021105774996830212,2025-05-09 13:55:00+00:00
midpoint,55,9285.105964956028,-0.0005033817398410132,2025-05-12 14:15:00+00:00
midpoint,56,9288.657823986985,0.0003825329559363546,2025-05-14 15:35:00+00:00
midpoint,57,9285.815071240024,-0.0003060455881602973,2025-05-15 13:55:00+00:00
midpoint,58,9291.373651722877,0.0005986098624845894,2025-05-16 14:30:00+00:00
midpoint,59,9279.130347016531,-0.0013177066346993448,2025-05-20 14:40:00+00:00
midpoint,60,9276.91471984489,-0.00023877530423457288,2025-05-21 14:35:00+00:00
midpoint,61,9278.7376857291,0.0001965056205927908,2025-05-22 14:35:00+00:00
midpoint,62,9285.639921838649,0.0007438766288396572,2025-05-23 15:05:00+00:00
midpoint,63,9273.49006248493,-0.001308456870607677,2025-05-30 14:10:00+00:00
midpoint,64,9283.028523859917,0.0010285729871619465,2025-06-02 14:30:00+00:00
midpoint,65,9274.619816037704,-0.000905815144335653,2025-06-03 14:15:00+00:00
midpoint,66,9275.33622030445,7.72435184359434e-05,2025-06-04 14:25:00+00:00
midpoint,67,9271.898307517835,-0.0003706510152257312,2025-06-05 14:45:00+00:00
midpoint,68,9247.926496857384,-0.0025854263997927784,2025-06-06 15:20:00+00:00
midpoint,69,9247.467742475403,-4.96061881696484e-05,2025-06-09 14:45:00+00:00
midpoint,70,9235.455781219938,-0.0012989460022976517,2025-06-10 15:35:00+00:00
midpoint,71,9230.308563288794,-0.0005573323128904793,2025-06-11 13:55:00+00:00
midpoint,72,9238.103633575687,0.0008445080934666784,2025-06-13 14:55:00+00:00
midpoint,73,9236.33215571407,-0.00019175773858817174,2025-06-17 13:50:00+00:00
midpoint,74,9191.167093536253,-0.004889934815723995,2025-06-20 14:25:00+00:00
midpoint,75,9185.02122462798,-0.000668671219413852,2025-06-24 13:55:00+00:00
midpoint,76,9181.498396817804,-0.0003835405192893713,2025-06-25 14:00:00+00:00
midpoint,77,9172.777034940811,-0.000949884376172738,2025-06-26 13:50:00+00:00
midpoint,78,9172.231371043305,-5.9487317246165015e-05,2025-06-30 15:40:00+00:00
midpoint,79,9170.905150630375,-0.0001445908153949958,2025-07-01 14:40:00+00:00
midpoint,80,9143.195468740776,-0.003021477317066612,2025-07-02 14:35:00+00:00
midpoint,81,9142.705565555088,-5.358117819567171e-05,2025-07-07 14:00:00+00:00
midpoint,82,9134.191273403867,-0.0009312661432846701,2025-07-08 14:00:00+00:00
midpoint,83,9117.939798148942,-0.0017791914761238425,2025-07-09 14:35:00+00:00
midpoint,84,9117.640427714035,-3.283312256210352e-05,2025-07-10 14:15:00+00:00
midpoint,85,9104.705729207983,-0.00141864538403349,2025-07-11 14:00:00+00:00
midpoint,86,9078.819290274478,-0.0028431933665315156,2025-07-16 15:15:00+00:00
midpoint,87,9079.36081605362,5.9647159154496866e-05,2025-07-23 15:50:00+00:00
midpoint,88,9073.72616981046,-0.000620599440568381,2025-07-24 14:15:00+00:00
midpoint,89,9071.310895713483,-0.0002661832693400477,2025-07-25 14:00:00+00:00
midpoint,90,9073.089023427596,0.0001960166214733718,2025-07-28 14:20:00+00:00
midpoint,91,9068.246984002371,-0.0005336704415356495,2025-07-30 13:50:00+00:00
midpoint,92,9072.568085078135,0.0004765089750409015,2025-07-31 14:20:00+00:00
midpoint,93,9067.072710867995,-0.0006057131959338544,2025-08-05 14:00:00+00:00
midpoint,94,9064.310986251481,-0.00030458833899096296,2025-08-06 14:00:00+00:00
midpoint,95,9058.54970690644,-0.0006356003620991089,2025-08-07 14:00:00+00:00
midpoint,96,9056.915960652766,-0.00018035406400975767,2025-08-11 14:25:00+00:00
midpoint,97,9061.912217755873,0.0005516510393617004,2025-08-12 14:05:00+00:00
midpoint,98,9051.194342343071,-0.0011827388254546322,2025-08-13 14:25:00+00:00
midpoint,99,9053.8378616419,0.0002920630359754874,2025-08-14 16:10:00+00:00
midpoint,100,9043.74263117946,-0.001115022227779172,2025-08-18 14:00:00+00:00
midpoint,101,9044.768607557118,0.00011344599459526278,2025-08-19 14:35:00+00:00
midpoint,102,9028.795364609441,-0.0017660200764375799,2025-08-21 14:05:00+00:00
midpoint,103,9022.092900051079,-0.0007423431684624669,2025-08-26 13:55:00+00:00
midpoint,104,9025.525135124783,0.00038042559655802075,2025-08-28 15:15:00+00:00
midpoint,105,9031.33865344833,0.0006441196757542624,2025-09-02 15:15:00+00:00
midpoint,106,9027.866768292251,-0.00038442641664795366,2025-09-03 14:25:00+00:00
midpoint,107,9023.905829987816,-0.0004387457642094581,2025-09-04 14:25:00+00:00
