session_id,session,session_date,side,breakout_time,breakout_side,reentry_time,confirmation_time,entry_time,entry_price,entry_reason,stop,tp_midpoint,tp_opposite_extreme,or_high,or_low,or_mid,or_size,daily_atr,daily_atr_pct,or_size_vs_daily_atr,or_size_vs_atr,gap_pct,opening_range_volume,opening_volume_vs_avg,invalid_signal_reason,tp_variant,tp,entry_fill,exit_time,exit_price,exit_fill,exit_reason,return,pnl_pct,rr,fee_rate,slippage_rate,bars_in_trade
ny_equity_2025-01-02,ny_equity,2025-01-02,short,2025-01-02 14:50:00+00:00,above,2025-01-02 15:15:00+00:00,2025-01-02 15:15:00+00:00,2025-01-02 15:20:00+00:00,514.67,breakout_reentry_v1,517.1997482142857,512.47,510.02,514.92,510.02,512.47,4.899999999999977,9.118992857142855,0.017837358639248194,0.5373400414676096,0.5373400414676096,0.006005124894861288,2727035.0,,,midpoint,512.47,514.618533,2025-01-02 15:20:00+00:00,512.47,512.521247,take_profit,0.0038920957175458738,0.0038920957175458738,0.796558156340785,0.0001,0.0001,1
ny_equity_2025-01-02,ny_equity,2025-01-02,short,2025-01-02 14:50:00+00:00,above,2025-01-02 15:15:00+00:00,2025-01-02 15:15:00+00:00,2025-01-02 15:20:00+00:00,514.67,breakout_reentry_v1,517.1997482142857,512.47,510.02,514.92,510.02,512.47,4.899999999999977,9.118992857142855,0.017837358639248194,0.5373400414676096,0.5373400414676096,0.006005124894861288,2727035.0,,,opposite_extreme,510.02,514.618533,2025-01-02 17:25:00+00:00,510.02,510.07100199999996,take_profit,0.008715486240482328,0.008715486240482328,1.7271716443359006,0.0001,0.0001,26
ny_equity_2025-01-03,ny_equity,2025-01-03,long,2025-01-03 15:20:00+00:00,below,2025-01-03 15:25:00+00:00,2025-01-03 15:25:00+00:00,2025-01-03 15:30:00+00:00,514.29,breakout_reentry_v1,510.66382321428574,514.745,516.53,516.53,512.96,514.745,3.5699999999999363,9.18470714285714,0.018001111543533583,0.38868958416124255,0.38868958416124255,0.006114889363620337,2152271.0,0.7892348283025337,,midpoint,514.745,514.341429,2025-01-03 15:30:00+00:00,514.745,514.6935255,take_profit,0.0004845579223213605,0.0004845579223213605,0.09442946017576792,0.0001,0.0001,1
ny_equity_2025-01-03,ny_equity,2025-01-03,long,2025-01-03 15:20:00+00:00,below,2025-01-03 15:25:00+00:00,2025-01-03 15:25:00+00:00,2025-01-03 15:30:00+00:00,514.29,breakout_reentry_v1,510.66382321428574,514.745,516.53,516.53,512.96,514.745,3.5699999999999363,9.18470714285714,0.018001111543533583,0.38868958416124255,0.38868958416124255,0.006114889363620337,2152271.0,0.7892348283025337,,opposite_extreme,516.53,514.341429,2025-01-03 16:30:00+00:00,516.53,516.478347,take_profit,0.003954668240811788,0.003954668240811788,0.5731042858417392,0.0001,0.0001,13
ny_equity_2025-01-08,ny_equity,2025-01-08,long,2025-01-08 14:50:00+00:00,below,2025-01-08 15:00:00+00:00,2025-01-08 15:00:00+00:00,2025-01-08 15:05:00+00:00,515.92,breakout_reentry_v1,511.00455,514.66,515.8,515.8,513.52,514.66,2.2799999999999727,10.061799999999993,0.019530649481734528,0.22659961438310983,0.22659961438310983,-0.0001941069140881033,1706753.0,0.7048102518275273,,midpoint,514.66,515.971592,2025-01-08 15:05:00+00:00,514.66,514.608534,take_profit,-0.002841730709856627,-0.002841730709856627,-0.27162600747651167,0.0001,0.0001,1
ny_equity_2025-01-08,ny_equity,2025-01-08,long,2025-01-08 14:50:00+00:00,below,2025-01-08 15:00:00+00:00,2025-01-08 15:00:00+00:00,2025-01-08 15:05:00+00:00,515.92,breakout_reentry_v1,511.00455,514.66,515.8,515.8,513.52,514.66,2.2799999999999727,10.061799999999993,0.019530649481734528,0.22659961438310983,0.22659961438310983,-0.0001941069140881033,1706753.0,0.7048102518275273,,opposite_extreme,515.8,515.971592,2025-01-08 15:05:00+00:00,515.8,515.74842,take_profit,-0.0006325276884623585,-0.0006325276884623585,-0.044473030010858464,0.0001,0.0001,1
ny_equity_2025-01-13,ny_equity,2025-01-13,short,2025-01-13 14:50:00+00:00,above,2025-01-13 15:10:00+00:00,2025-01-13 15:10:00+00:00,2025-01-13 15:15:00+00:00,501.46,breakout_reentry_v1,504.05884285714285,500.695,499.7,501.69,499.7,500.695,1.990000000000009,9.47537142857142,0.018682094340526072,0.21001815232271448,0.21001815232271448,-0.011810169758867504,3292874.0,1.3518431216277038,,midpoint,500.695,501.409854,2025-01-13 15:25:00+00:00,500.695,500.7450695,take_profit,0.0011275907053140744,0.0011275907053140744,0.246271688166729,0.0001,0.0001,3
ny_equity_2025-01-13,ny_equity,2025-01-13,short,2025-01-13 14:50:00+00:00,above,2025-01-13 15:10:00+00:00,2025-01-13 15:10:00+00:00,2025-01-13 15:15:00+00:00,501.46,breakout_reentry_v1,504.05884285714285,500.695,499.7,501.69,499.7,500.695,1.990000000000009,9.47537142857142,0.018682094340526072,0.21001815232271448,0.21001815232271448,-0.011810169758867504,3292874.0,1.3518431216277038,,opposite_extreme,499.7,501.409854,2025-01-13 17:55:00+00:00,504.05884285714285,504.10924874142853,stop,-0.005554781226823202,-0.005554781226823202,-1.0,0.0001,0.0001,33
ny_equity_2025-01-14,ny_equity,2025-01-14,long,2025-01-14 14:50:00+00:00,below,2025-01-14 15:05:00+00:00,2025-01-14 15:05:00+00:00,2025-01-14 15:10:00+00:00,508.5905,breakout_reentry_v1,505.1390125,508.8275,510.155,510.155,507.5,508.8275,2.6549999999999727,9.443949999999992,0.01868017643800932,0.2811323651649972,0.2811323651649972,0.006290054592926669,2364911.0,0.9244167216330477,,midpoint,508.8275,508.64135905,2025-01-14 15:10:00+00:00,508.8275,508.77661725,take_profit,6.592056975593969e-05,6.592056975593969e-05,0.03807022590837237,0.0001,0.0001,1
ny_equity_2025-01-14,ny_equity,2025-01-14,long,2025-01-14 14:50:00+00:00,below,2025-01-14 15:05:00+00:00,2025-01-14 15:05:00+00:00,2025-01-14 15:10:00+00:00,508.5905,breakout_reentry_v1,505.1390125,508.8275,510.155,510.155,507.5,508.8275,2.6549999999999727,9.443949999999992,0.01868017643800932,0.2811323651649972,0.2811323651649972,0.006290054592926669,2364911.0,0.9244167216330477,,opposite_extreme,510.155,508.64135905,2025-01-14 16:00:00+00:00,505.1390125,505.08849859875,stop,-0.007185001097602028,-0.007185001097602028,-1.0,0.0001,0.0001,11
