name,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,avg_turnover,total_turnover
strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benchmark,-0.05491069742852783,-0.5105609613877033,-1.46911574340362,-0.10579091708050181,0.5052441229656419,0.9857594245363985,,
