tp_variant,total_return,win_rate,profit_factor,max_drawdown,sharpe,expectancy,return_to_drawdown_ratio,top_5_trades_pnl_share,top_5_net_pnl_share,avg_rr,profit_per_trade,max_consecutive_losses,time_in_market,avg_bars_in_trade,median_bars_in_trade,total_sessions,valid_sessions,invalid_sessions,invalid_sessions_ratio,signals_count,trades_count,signal_to_trade_rate,coverage_start,coverage_end,expected_5m_bars,observed_5m_bars,coverage_ratio_5m,daily_start,daily_end,daily_warmup_ok,daily_warmup_bars,daily_required_warmup_bars,ny_gap_count_gt_60m,decision
midpoint,-0.48307398662400247,0.09722222222222222,0.04758473849190453,-0.4831238917971329,-13.614310369488265,-0.0030439107528759776,-0.9998967031563172,0.5509091125918456,0.0,-0.14823309431213952,-0.0030439107528759776,45,877.0,4.060185185185185,1.0,366,327,39,0.10655737704918032,216,216,1.0,2025-01-01,2026-01-01,105120,105120,1.0,2024-12-01,2025-12-31,True,31,14,0,no-go
opposite_extreme,-0.3468020633135752,0.36574074074074076,0.35773197783311084,-0.3543150774714058,-5.239054701728757,-0.0019521827998375087,-0.9787956690653762,0.23769414254536753,0.0,-0.07843377365031329,-0.0019521827998375087,11,2844.0,13.166666666666666,5.0,366,327,39,0.10655737704918032,216,216,1.0,2025-01-01,2026-01-01,105120,105120,1.0,2024-12-01,2025-12-31,True,31,14,0,no-go
