period,tp_variant,trades_count,total_return,win_rate,profit_factor
2025-08-04/2025-08-10,opposite_extreme,3,-0.002907792595365999,0.6666666666666666,0.23329625601955062
2025-08-11/2025-08-17,midpoint,4,-0.0005201544857614815,0.5,0.6189703444705918
2025-08-11/2025-08-17,opposite_extreme,4,-0.0006698467515853235,0.5,0.8002030020075949
2025-08-18/2025-08-24,midpoint,3,-0.002765953777298824,0.3333333333333333,0.03937671947031841
2025-08-18/2025-08-24,opposite_extreme,3,-4.369987506958051e-05,0.3333333333333333,0.9667337618473325
2025-08-25/2025-08-31,midpoint,2,-0.00036219997824715744,0.5,0.5124659493343949
2025-08-25/2025-08-31,opposite_extreme,2,0.0013040515963951282,0.5,49.78126758189237
2025-09-01/2025-09-07,midpoint,4,-0.0011617981085142448,0.25,0.35670822351970854
2025-09-01/2025-09-07,opposite_extreme,4,-0.0011461345740724216,0.75,0.6849995101883275
2025-09-08/2025-09-14,midpoint,5,-0.0030729457242286706,0.0,0.0
2025-09-08/2025-09-14,opposite_extreme,5,0.00025002751347780183,0.6,1.4505828762271238
2025-09-15/2025-09-21,midpoint,3,-0.004060388636642265,0.0,0.0
2025-09-15/2025-09-21,opposite_extreme,3,-0.0013990144519779868,0.6666666666666666,0.30008971572018783
2025-09-22/2025-09-28,midpoint,1,-0.0007822553779408548,0.0,0.0
2025-09-22/2025-09-28,opposite_extreme,1,-0.00024998825019606485,0.0,0.0
2025-09-29/2025-10-05,midpoint,4,-0.0024453846721437245,0.25,0.06979285908030385
2025-09-29/2025-10-05,opposite_extreme,4,-0.002085323148623197,0.5,0.5121669891747098
2025-10-06/2025-10-12,midpoint,3,-0.0010737160432735537,0.0,0.0
2025-10-06/2025-10-12,opposite_extreme,3,-0.00542124543438216,0.3333333333333333,0.09707693775802133
2025-10-13/2025-10-19,midpoint,4,-0.0029982270459872895,0.0,0.0
2025-10-13/2025-10-19,opposite_extreme,4,0.002837417264266895,0.75,13.798620625986622
2025-10-20/2025-10-26,midpoint,1,-0.0007908176866601169,0.0,0.0
2025-10-20/2025-10-26,opposite_extreme,1,1.6913528304574044e-05,1.0,inf
2025-10-27/2025-11-02,midpoint,5,-0.00020922687194091516,0.4,0.88240146043231
2025-10-27/2025-11-02,opposite_extreme,5,-0.004998158847369871,0.6,0.49250513767466625
2025-11-10/2025-11-16,midpoint,3,-0.0024819377119571495,0.3333333333333333,0.25209842636783936
2025-11-10/2025-11-16,opposite_extreme,3,0.001836653961728052,0.3333333333333333,2.4996876702547293
2025-11-17/2025-11-23,midpoint,5,-0.004615564449258369,0.6,0.3680278474614677
2025-11-17/2025-11-23,opposite_extreme,5,0.0036954818621970364,0.6,1.614304058656663
2025-11-24/2025-11-30,midpoint,3,0.0008079811617094368,0.6666666666666666,1.9973260984950567
2025-11-24/2025-11-30,opposite_extreme,3,0.006313980275535647,1.0,inf
2025-12-01/2025-12-07,midpoint,5,-0.0045254849367655225,0.0,0.0
2025-12-01/2025-12-07,opposite_extreme,5,-0.00702421794973751,0.4,0.15211404416853044
2025-12-08/2025-12-14,midpoint,3,7.075361311725814e-06,0.3333333333333333,1.0355709259553645
2025-12-08/2025-12-14,opposite_extreme,3,-0.0022062136275643462,0.6666666666666666,0.4717280619444033
2025-12-15/2025-12-21,midpoint,2,-0.003318172754446125,0.0,0.0
2025-12-15/2025-12-21,opposite_extreme,2,0.00026369661011171885,0.5,1.3094568260151735
2025-12-22/2025-12-28,midpoint,3,-0.002211350486704955,0.0,0.0
2025-12-22/2025-12-28,opposite_extreme,3,-0.003760058367306085,0.3333333333333333,0.23219108716971237
2025-12-29/2026-01-04,midpoint,2,-0.0014535684742771338,0.0,0.0
2025-12-29/2026-01-04,opposite_extreme,2,-0.001482345655974826,0.0,0.0
